Karmn_1a,SpTnum_1,M_Msol,eM_Msol,Karmn_1,d_pc_1,ed_pc_1,L_Lsol_1,eL_Lsol,F_bol_E-13_ergcm-2s-1,F_x/F_bol,L_x_E28_ergs-1,eL_x_E28_ergs-1,SpTnum_2,SKG,Ref14,SKG_lit,vsini_kms-1,evsini_kms-1,P_d,eP_d,g_mag_1,eg_mag_1,GG_mag,eGG_mag,RP_mag,eRP_mag,L_x/L_Lsol,Karmn_2,Name,B_mag,eB_mag,Ref25,g_mag_2,eg_mag_2,V_mag,eV_mag,Ref29
J18358+800,3.5,0.3137,0.0142,J18358+800,16.394,0.006,0.01,0.0,11957.429783051806,7.178799950768544E-4,2.760966399353172,0.24798523544676387,3.5,,,,,,,,13.865,0.03,11.8579,0.0028,10.6518,0.0038,7.178799950768543E-4,J18358+800,LP 025-002,14.723,0.02,UCAC4,13.865,0.03,13.133,0.02,UCAC4
J18363+136,4.0,0.301,0.0108,J18363+136,12.027,0.004,0.011,0.0,24439.127256028143,2.8327524900254275E-4,1.1984242619363707,0.18764869509436918,4.0,HS,Karmn,,2.0,,50.2,1.6,13.006,0.025,11.1538,0.0028,9.9264,0.0039,2.8327524900254275E-4,J18363+136,Ross 149,13.806,0.02,UCAC4,13.006,0.025,12.326,0.12,UCAC4
J18394+690,2.0,0.7331,0.0267,J18394+690,33.865,0.044,0.07,0.001,19615.6860372127,3.983546695678068E-4,10.724504459763798,0.7699573572510517,2.0,,,,,,10.219499588012695,,12.852,0.01,11.0333,0.0029,9.9588,0.0043,3.9835466956780676E-4,J18394+690,RX J1839.4+6903,13.733,0.01,UCAC4,12.852,0.01,11.906,0.01,UCAC4
J18411+247S,4.5,,,J18411+247S,9.932,0.002,0.0,0.0,0.0,Infinity,1.6340821954120868,0.19242551432319754,4.5,,,,7.1,,,,13.171,0.033,10.7255,0.0028,9.4415,0.0039,Infinity,J18411+247S,G 184-19,14.071,0.018,APASS9,13.171,0.033,12.23,0.0,APASS9
J18416+397,4.0,0.204,0.0114,J18416+397,12.484,0.003,0.004,0.0,8248.218182446257,4.936823852900563E-4,0.7594810176036335,0.11806274393505474,4.0,,,,,,,,14.358,0.11,12.1761,0.0028,10.9351,0.0038,4.936823852900563E-4,J18416+397,G 205-035,15.43,0.05,UCAC4,14.358,0.11,13.53,0.02,UCAC4
J18427+139,4.0,,,J18427+139,10.933,0.003,0.0,0.0,0.0,Infinity,1.622015604777999,0.21900573026235212,4.0,,,,3.0,,8.07,0.08,13.499,0.08,11.4006,0.0029,10.1517,0.0042,Infinity,J18427+139,V816 Her,14.326,0.15,UCAC4,13.499,0.08,12.851,0.03,UCAC4
J18427+596S,3.5,0.258,0.012,J18427+596S,3.523,0.0,0.009,0.0,233036.9924452264,8.264782251251451E-6,0.028607716052982502,0.003134074745886078,3.5,,,,2.5,,,,10.261,0.001,8.5247,0.0028,7.3342,0.0039,8.26478225125145E-6,J18427+596S,HD 173740,11.705,0.0,UCAC4,10.261,0.001,9.877,0.0,UCAC4
J18451+063,1.0,0.5481,0.0207,J18451+063,18.871,0.011,0.05,0.001,45121.946990538316,6.260811503271554E-5,1.2039540700194333,0.26593534248204326,1.0,LA,Karmn,Car,3.0,,16.18,,11.602,0.054,10.016,0.0029,8.9899,0.004,6.260811503271554E-5,J18451+063,TYC 460-624-1,12.342,0.05,APASS9,11.602,0.054,10.898,0.025,APASS9
J18482+076,5.0,0.14,0.009,J18482+076,7.617,0.002,0.002,0.0,11078.214150410424,2.725168526638307E-4,0.20961997302543253,0.050478210431879354,5.0,HS,Karmn,,2.4,1.5,2.76,0.01,14.972,0.01,12.2969,0.0029,10.9455,0.0039,2.7251685266383065E-4,J18482+076,G 141-036,16.012,0.07,UCAC4,14.972,0.01,14.248,0.02,UCAC4
J18498-238,3.5,0.17561,0.00902,J18498-238,2.976,0.0,0.004,0.0,145144.90664716344,4.609531283239445E-4,0.7091303262954377,0.03911054468797985,3.5,Cas,Karmn,,3.0,1.5,2.8501999378204346,,11.257,0.01,9.1264,0.0029,7.8981,0.004,4.6095312832394446E-4,J18498-238,V1216 Sgr,12.194,0.01,UCAC4,11.257,0.01,10.433,0.01,UCAC4
J18519+130,2.0,0.646,0.025,J18519+130,29.859,0.19,0.054,0.001,19464.84447514003,9.626586481943197E-4,19.992880387755392,2.8808184168363624,2.0,LA,Karmn,AB Dor?,,,,,12.474,0.06,10.8668,0.0029,9.794,0.0041,9.6265864819432E-4,J18519+130,2MASS J18515965+1300034,13.224,0.1,UCAC4,12.474,0.06,11.791,0.17,UCAC4
J18548+008,0.0,0.631,0.023,J18548+008,24.925,0.014,0.08,0.002,41383.510905241594,6.898883049364174E-5,2.1226482891834806,0.6765709232648225,0.0,Cas,Cab10,Cas,,,,,11.334,0.01,9.9224,0.0028,8.9808,0.0039,6.898883049364171E-5,J18548+008,BD+00 4050,12.011,0.03,UCAC4,11.334,0.01,10.638,0.07,UCAC4
J18554+084,3.0,,,J18554+084,11.123,0.003,0.0,0.0,0.0,Infinity,15.579151670016708,0.6094258721120424,3.0,,,,22.61,3.03,,,10.926,0.01,9.0302,0.0028,7.8674,0.0039,Infinity,J18554+084,V1285 Aql,11.657,0.01,UCAC4,10.926,0.01,10.171,0.01,UCAC4
J18580+059,0.5,0.584,0.013,J18580+059,11.109,0.003,0.066,0.0,171870.62106536492,1.2241766966982403E-5,0.31074011429931686,0.09703243718676949,0.5,,,,2.0,,35.2,0.3,10.042,0.405,8.4605,0.0028,7.472,0.0039,1.2241766966982403E-5,J18580+059,BD+05 3993,10.639,0.01,UCAC4,10.042,0.405,9.367,0.01,UCAC4
J19032+639,3.5,,,J19032+639,36.368,0.051,0.0,0.0,0.0,Infinity,29.575598669903933,1.2472877736867263,3.5,,,,,,,,11.193,0.01,9.9949,0.0036,9.0482,0.0038,Infinity,J19032+639,StKM 1-1676A,11.856,0.01,UCAC4,11.193,0.01,10.459,0.01,UCAC4
J19041+211,2.0,0.6789,0.0298,J19041+211,36.047,0.102,0.06,0.003,14839.546501479777,1.5923666641976057E-4,3.674545232169906,0.9423506189412824,2.0,HS,Karmn,,,,,,12.983,0.011,11.4288,0.0028,10.1967,0.0039,1.5923666641976057E-4,J19041+211,1RXS J190405.9+2110,,,,12.983,0.011,,,
J19044+590,3.0,,,J19044+590,22.443,0.008,0.0,0.0,0.0,Infinity,0.3236963131190784,0.13321580150075857,3.0,,,,,,,,13.022,0.007,11.2376,0.0028,10.0752,0.0038,Infinity,J19044+590,LSPM J1907+5905,,,,13.022,0.007,,,
J19077+325,3.0,,,J19077+325,8.18,0.17,0.0,0.0,0.0,Infinity,0.1889819128455028,0.05589380662836821,3.0,,,,,,,,12.08,0.036,10.4508,0.0139,8.8622,0.0038,Infinity,J19077+325,GJ 747,,,,12.08,0.036,,,
J19146+193N,3.5,,,J19146+193N,18.12,0.014,0.0,0.0,0.0,Infinity,17.046986772219352,0.9811526535229719,3.5,,,,20.8,,0.48,,12.147,0.03,10.3889,0.0029,9.2076,0.004,Infinity,J19146+193N,Ross 733,12.902,0.04,UCAC4,12.147,0.03,11.602,0.01,UCAC4
J19169+051N,2.5,0.4768,0.0132,J19169+051N,5.915,0.001,0.033,0.0,303118.2660709186,5.0442359138834885E-6,0.06402043302492506,0.031319348709725456,2.5,LA?,Tet11,LA?,2.0,,46.0,0.2,,,8.0999,0.0028,6.9772,0.0041,5.044235913883488E-6,J19169+051N,V1428 Aql,10.553,0.01,UCAC4,,,9.144,0.01,UCAC4
J19215+425,2.0,,,J19215+425,31.774,0.204,0.0,0.0,0.0,Infinity,5.46356288825452,1.0306101795603742,2.0,,,,,,15.14,,12.784,0.06,11.1766,0.0029,10.0749,0.0043,Infinity,J19215+425,LSPM J1921+4230,13.575,0.06,UCAC4,12.784,0.06,12.206,0.03,UCAC4
J19260+244,4.5,0.2679,0.0131,J19260+244,18.579,0.007,0.006,0.0,5586.170993232522,3.064711077537373E-4,0.7072127343998607,0.21150288235342066,4.5,HS,Karmn,,,,2.6786000728607178,,14.981,0.03,12.7501,0.0028,11.4776,0.0038,3.064711077537374E-4,J19260+244,G 185-023,16.008,0.16,UCAC4,14.981,0.03,14.3,0.02,UCAC4
J19268+167,3.0,0.4178,0.0176,J19268+167,20.962,0.009,0.017,0.0,12433.436448996934,1.6399328075519874E-4,1.0722209265039244,0.3964956221986431,3.0,,,,8.0,,,,13.825,0.052,11.8163,0.0029,10.6242,0.0043,1.6399328075519874E-4,J19268+167,LTT 15678,14.573,0.02,UCAC4,13.825,0.052,13.035,0.01,UCAC4
J19312+361,4.5,,,J19312+361,40.083,0.035,0.0,0.0,0.0,Infinity,25.091843869852628,3.001407467060765,4.5,,,,,,1.63,,14.775,0.01,12.6849,0.0029,11.4245,0.0045,Infinity,J19312+361,G 125-15,,,,14.775,0.01,,,
J19354+377,3.5,,,J19354+377,14.467,0.008,0.0,0.0,0.0,Infinity,7.329301268224701,0.5693220658814403,3.5,,,,4.4,,,,12.327,0.05,10.3834,0.0029,9.1993,0.0043,Infinity,J19354+377,RX J1935.4+3746,13.163,0.05,UCAC4,12.327,0.05,11.626,0.13,UCAC4
J19420-210,4.0,,,J19420-210,18.663,0.016,0.0,0.0,0.0,Infinity,1.8999355257064978,0.4689397598235972,4.0,,,,2.7,,,,13.948,0.05,11.7599,0.0028,10.5037,0.0039,Infinity,J19420-210,LP 869-019,14.843,0.04,UCAC4,13.948,0.05,13.268,0.04,UCAC4
J19422-207,5.1,0.2089,0.0115,J19422-207,15.849,0.007,0.005,0.0,6396.96431211753,0.0015322893121677739,2.9465922814371575,0.5377936817012907,5.1,,Karmn,,6.2,1.5,,,14.947,0.023,12.7099,0.0029,11.4326,0.004,0.0015322893121677737,J19422-207,2MASS J19421282-2045477,15.838,0.08,UCAC4,14.947,0.023,14.274,0.01,UCAC4
J19502+317,2.5,0.5418,0.0234,J19502+317,29.651,0.113,0.035,0.001,12793.726038124914,7.785065905324591E-4,10.479477259773539,1.2888915505929197,2.5,Hya,Shk12,Hya,8.0,,,,13.561,0.002,12.1233,0.0028,10.6891,0.0039,7.785065905324591E-4,J19502+317,LP 338-004,14.427,0.02,UCAC4,13.561,0.002,12.904,0.01,UCAC4
J19510+104,3.5,0.3697,0.0158,J19510+104,19.465,0.015,0.015,0.0,12723.01646513176,2.7139790930301146E-4,1.5656945037730732,0.39493769851614374,3.5,,,,,,,,13.596,0.001,11.7651,0.0028,10.5473,0.0039,2.713979093030115E-4,J19510+104,omi Aql B,,,,13.596,0.001,,,
J19511+464,4.0,0.2685,0.0115,J19511+464,11.977,0.002,0.007,0.0,15682.294307231288,4.888315280398033E-4,1.3160322804103193,0.15004073136191645,4.0,IC,Karmn,,22.1,0.9,0.592713,1.97562E-5,13.683,0.05,11.5439,0.0028,10.317,0.0038,4.888315280398034E-4,J19511+464,G 208-042,14.61,0.03,UCAC4,13.683,0.05,12.961,0.19,UCAC4
J19512+622,2.0,0.6179,0.0227,J19512+622,29.323,0.01,0.062,0.001,23173.015161718547,3.926981533802944E-5,0.9363965853946539,0.33751437323235706,2.0,,,,,,,,12.403,0.08,10.746,0.0028,9.7002,0.0038,3.9269815338029425E-5,J19512+622,G 260-035,13.094,0.07,UCAC4,12.403,0.08,11.703,0.13,UCAC4
J19539+444E,5.5,,,J19539+444E,4.66,0.001,0.0,0.0,0.0,Infinity,0.3552044510136625,0.028794742433399488,5.5,,,,7.0,0.6,0.71,0.01,14.747,0.012,11.9083,0.0029,10.5095,0.0039,Infinity,J19539+444E,G 208-45,15.111,0.018,APASS9,14.747,0.012,13.052,0.082,APASS9
J20005+593,4.1,,,J20005+593,34.428,0.34,0.0,0.0,0.0,Infinity,12.667085876507324,1.1120934745881128,4.1,,,,,,,,14.637,0.008,13.3275,0.0043,11.37,0.0042,Infinity,J20005+593,2MASS J20003177+5921289,15.742,0.04,UCAC4,14.637,0.008,14.528,0.01,UCAC4
J20037+644,0.0,0.7614,0.0257,J20037+644,37.624,0.152,0.115,0.002,26108.11799747868,2.2533220883907867E-4,9.96621844553623,1.0028899369519193,0.0,UMa,Karmn,,,,,,11.636,0.014,10.3647,0.0028,9.4496,0.0038,2.2533220883907864E-4,J20037+644,TYC 4240-978-1,11.745,0.283,APASS9,11.636,0.014,10.955,0.022,APASS9
J20050+544,1.0,,,J20050+544,16.585,0.007,0.0,0.0,0.0,Infinity,2.4023505043860607,0.2182458735856714,1.0,,,,12.7,0.3,,,12.869,0.01,11.1708,0.0028,10.15,0.0038,Infinity,J20050+544,V1513 Cyg,11.97,0.0,UCAC4,12.869,0.01,11.98,0.0,UCAC4
J20082+333,4.5,0.288,0.0402,J20082+333,21.65,2.53,0.006,0.002,4113.799592885329,7.073752671042681E-4,1.6323391805586622,0.49026268822831826,4.5,,,,15.7,0.4,,,15.66,0.01,13.7932,0.0057,11.9123,0.004,7.073752671042681E-4,J20082+333,GJ 1250,16.759,0.08,UCAC4,15.66,0.01,14.967,0.01,UCAC4
J20093-012,5.0,0.1444,0.0122,J20093-012,10.793,0.005,0.003,0.0,8276.45864485254,4.890980590320249E-4,0.5643213454164255,0.12239974565007897,5.0,,,,4.3,1.5,,,15.184,0.01,12.6729,0.0029,11.3463,0.0041,4.89098059032025E-4,J20093-012,2MASS J20091824-0113377,16.265,0.06,UCAC4,15.184,0.01,14.45,0.01,UCAC4
J20105+065,3.5,,,J20105+065,16.093,0.007,0.0,0.0,0.0,Infinity,14.546037959769881,1.1219776834557684,3.5,,,,,,1.12,,12.988,0.01,10.9222,0.0029,9.7038,0.0043,Infinity,J20105+065,LSPM J2010+0632,13.874,0.01,UCAC4,12.988,0.01,12.255,0.01,UCAC4
J20132+029,1.0,0.6329,0.0237,J20132+029,36.551,0.03,0.073,0.002,17560.303635726046,1.8564599212458145E-4,5.212159669088027,1.6052171946794391,1.0,HS,Karmn,,,,,,12.476,0.01,10.984,0.0028,9.9921,0.0039,1.856459921245815E-4,J20132+029,[R78b] 440,13.217,0.02,UCAC4,12.476,0.01,11.791,0.04,UCAC4
J20187+158,2.5,0.4568,0.0188,J20187+158,17.489,0.006,0.025,0.001,26267.43743472428,6.639398922609963E-5,0.6383782159215244,0.21047446982607537,2.5,LA/Cas,Karmn,,3.0,,,,12.462,0.0,10.7676,0.0028,9.6559,0.0039,6.639398922609962E-5,J20187+158,LTT 15944,13.25,0.031,APASS9,12.462,0.0,11.708,0.052,APASS9
J20198+229,3.0,0.8157,0.0299,J20198+229,29.501,0.023,0.068,0.0,25109.793440353882,0.001136050726063314,29.71090904324013,2.3934541856300195,3.0,,,,11.8,,1.128159,9.8406344E-5,13.16,0.108,11.0225,0.0029,9.8477,0.0076,0.0011360507260633143,J20198+229,LP  395-8 A,14.607,0.086,APASS9,13.16,0.108,11.881,0.006,APASS9
J20232+671,5.0,,,J20232+671,21.966,0.026,0.0,0.0,0.0,Infinity,1.5873705227657058,0.32336394074070796,5.0,,,,,,,,16.162,0.016,14.0344,0.003,12.2833,0.0176,Infinity,J20232+671,NLTT 49224,,,,16.162,0.016,,,
J20287-114,3.0,,,J20287-114,18.331,0.011,0.0,0.0,0.0,Infinity,7.010854343038559,0.9245126932646878,3.0,,,,5.9,,,,13.199,0.03,11.2181,0.0028,10.0266,0.004,Infinity,J20287-114,L 755-019,14.005,0.08,UCAC4,13.199,0.03,12.515,0.038,APASS9
J20298+096,4.5,,,J20298+096,7.473,0.077,0.0,0.0,0.0,Infinity,0.6726750946563369,0.0922296737326668,4.5,,,,35.3,0.7,0.35,0.01,13.85,0.01,11.4854,0.003,10.1687,0.0044,Infinity,J20298+096,HU Del,14.749,0.04,UCAC4,13.85,0.01,13.045,0.18,UCAC4
J20301+798,3.0,,,J20301+798,33.946,0.022,0.0,0.0,0.0,Infinity,55.593488202529336,2.4229840929912894,3.0,,,,,,,,12.976,0.01,11.1904,0.0029,10.05,0.0044,Infinity,J20301+798,GSC 04593-01344,13.771,0.01,UCAC4,12.976,0.01,12.242,0.01,UCAC4
J20305+654,2.5,0.3719,0.0113,J20305+654,8.087,0.001,0.019,0.0,93365.48875437125,8.822318155548049E-5,0.6446820561686775,0.05204729354899808,2.5,,,,2.0,,32.8,0.5,11.017,0.174,9.4353,0.0028,8.2856,0.0039,8.82231815554805E-5,J20305+654,GJ 793,11.6,0.369,APASS9,11.017,0.174,10.51,0.018,APASS9
J20418-324,4.5,,,J20418-324,9.921,0.007,0.0,0.0,0.0,Infinity,35.42119771975228,0.9632956632502145,4.5,,,,10.1,1.2,,,10.998,0.04,9.5758,0.0029,8.185,0.0155,Infinity,J20418-324,AT Mic A,11.79,0.09,UCAC4,10.998,0.04,10.334,0.03,UCAC4
J20433+553,5.0,,,J20433+553,16.404,0.107,0.0,0.0,0.0,Infinity,1.190557996944701,0.18742352438581297,5.0,,,,6.4,0.4,0.795,,15.351,0.004,12.9203,0.0028,11.5687,0.0038,Infinity,J20433+553,GJ 802,,,,15.351,0.004,,,
J20435+240,2.5,0.5196,0.0197,J20435+240,21.344,0.008,0.036,0.0,25395.602805539384,0.0012374976993624028,17.133897408715473,1.1901644920622079,2.5,LA/Cas,Karmn,,24.3,,0.7989000082015991,,12.384,0.001,10.7986,0.0028,9.6967,0.0041,0.0012374976993624024,J20435+240,Wolf 1360,12.612,0.133,APASS9,12.384,0.001,11.776,0.045,APASS9
J20451-313,0.5,0.6057,0.0203,J20451-313,9.714,0.002,0.099,0.001,337168.2557710916,0.0014437243328956784,54.9703811668734,1.0987796633338316,0.5,LA,Karmn,bet Pic,9.3,1.2,4.888798,0.0034351216,9.579,0.05,7.8434,0.0029,6.7986,0.004,0.0014437243328956789,J20451-313,AU Mic,10.063,0.02,UCAC4,9.579,0.05,8.888,0.18,UCAC4
J20532-023,2.9,,,J20532-023,34.252,0.792,0.0,0.0,0.0,Infinity,8.247216728061504,1.854711099450604,2.9,,,,,,,,13.988,0.04,12.0623,0.0029,10.8625,0.0039,Infinity,J20532-023,LP 636-019,14.806,0.02,UCAC4,13.988,0.04,13.249,0.04,UCAC4
J20533+621,1.0,0.528,0.0127,J20533+621,7.04,0.001,0.052,0.0,337183.02440322295,1.7302176231889973E-5,0.3460296900362288,0.03416405366839857,1.0,,,,2.0,,,,9.45,0.02,7.7567,0.0028,6.7473,0.0038,1.7302176231889973E-5,J20533+621,HD 199305,10.459,0.0,UCAC4,9.45,0.02,8.762,0.0,UCAC4
J20568-048,4.0,,,J20568-048,16.175,0.019,0.0,0.0,0.0,Infinity,7.362666458719966,0.6381082465983109,4.0,,,,10.0,,,,12.681,0.02,10.6597,0.0028,9.4553,0.0038,Infinity,J20568-048,FR Aqr,13.486,0.03,UCAC4,12.681,0.02,11.967,0.01,UCAC4
J21000+400,1.5,,,J21000+400,15.025,0.016,0.0,0.0,0.0,Infinity,20.21138147146333,0.7948280987134054,1.5,,,,4.3,1.6,,,10.812,0.01,9.3968,0.0029,8.1522,0.0048,Infinity,J21000+400,V1396 Cyg,11.588,0.01,UCAC4,10.812,0.01,9.969,0.01,UCAC4
J21012+332,3.0,,,J21012+332,20.087,0.298,0.0,0.0,0.0,Infinity,1.8271865519425181,0.3568422123206599,3.0,,,,3.7,,29.4,0.9,13.0,0.001,11.2304,0.003,10.0618,0.0038,Infinity,J21012+332,LP 340-547,14.174,0.182,APASS9,13.0,0.001,12.375,0.027,APASS9
J21027+349,4.5,0.4577,0.0193,J21027+349,34.656,0.021,0.017,0.0,4548.8307924483,6.069691408543175E-4,3.968485852402682,0.952954056175332,4.5,,,,,,,,15.298,0.01,13.0363,0.0029,11.758,0.0042,6.069691408543174E-4,J21027+349,G 211-009,16.228,0.06,UCAC4,15.298,0.01,14.573,0.01,UCAC4
J21076-130,3.0,0.4381,0.0181,J21076-130,20.771,0.018,0.02,0.0,14897.824061786669,0.001008335193817802,7.756114137483869,0.887548913870693,3.0,bet Pic,Malo13,bet Pic,52.2,4.4,,,13.449,0.07,11.4827,0.003,10.3051,0.0041,0.001008335193817802,J21076-130,1RXS J120736.5-130500,14.299,0.05,UCAC4,13.449,0.07,12.64,0.02,UCAC4
J21087-044S,1.0,,,J21087-044S,28.694,0.383,0.0,0.0,0.0,Infinity,49.99588837050768,3.091980549645723,1.0,,,,,,,,10.16,0.001,9.0564,0.004,8.1754,0.0038,Infinity,J21087-044S,BD-05 5480A,10.551,0.02,UCAC4,10.16,0.001,9.504,0.04,UCAC4
J21100-193,2.0,0.8851,0.0337,J21100-193,32.365,0.03,0.089,0.002,27305.265847149003,0.0014695699769411666,50.302499444606894,4.566800529150448,2.0,LA/Cas,Karmn,bet Pic,9.4,0.9,3.71,,12.483,0.04,10.8064,0.0033,9.6744,0.0063,0.0014695699769411666,J21100-193,BPS CS 22898-0065,13.174,0.04,UCAC4,12.483,0.04,11.75,0.04,UCAC4
J21160+298E,3.5,,,J21160+298E,19.701,0.156,0.0,0.0,0.0,Infinity,15.009127451564858,1.0302430599819221,3.5,,,,,,0.586,,13.359,0.139,11.4126,0.0029,10.1816,0.0039,Infinity,J21160+298E,Ross 776,14.284,0.106,APASS9,13.359,0.139,12.737,0.047,APASS9
J21173+640,5.0,0.43,0.0195,J21173+640,31.279,0.218,0.014,0.0,4598.646329691397,5.558157359862637E-4,2.9927343412202414,0.5725536283308486,5.0,,,,,,9.6555,,15.776,0.03,13.6433,0.0043,11.9763,0.0042,5.558157359862637E-4,J21173+640,G 262-038,,,,15.776,0.03,15.127,0.01,UCAC4
J21176-089N,2.5,,,J21176-089N,26.92,0.503,0.0,0.0,0.0,Infinity,4.820257954513177,0.9496550044583932,2.5,,,,,,,,12.856,0.01,11.4095,0.0103,9.9525,0.0039,Infinity,J21176-089N,StKM 1-1876,13.627,0.03,UCAC4,12.856,0.01,12.119,0.02,UCAC4
J21185+302,1.5,0.6934,0.0257,J21185+302,37.371,0.025,0.078,0.002,17948.69483366538,5.176977993667839E-4,15.530313064071548,2.1543881260503075,1.5,LA,Karmn,bet Pic?,5.1,2.0,7.800000190734863,0.2,13.359,0.02,10.9378,0.003,9.9455,0.0048,5.17697799366784E-4,J21185+302,GSC 02703-00706,13.313,0.148,APASS9,13.359,0.02,11.849,0.054,APASS9
J21313-097,4.5,,,J21313-097,7.458,0.062,0.0,0.0,0.0,Infinity,0.20561950197559822,0.04599646271989408,4.5,,,,10.0,,,,12.741,0.017,10.4711,0.0034,9.1621,0.0059,Infinity,J21313-097,BB Cap,13.642,0.054,APASS9,12.741,0.017,11.969,0.035,APASS9
J21323+245,3.5,,,J21323+245,20.578,0.02,0.0,0.0,0.0,Infinity,6.055859684167807,0.8706248897616679,3.5,,,,3.0,,4.74,,13.421,0.01,12.0338,0.0028,10.5023,0.0209,Infinity,J21323+245,LP  397-34 A,14.259,0.02,UCAC4,13.421,0.01,12.63,0.01,UCAC4
J21366+394,0.0,,,J21366+394,20.786,0.078,0.0,0.0,0.0,Infinity,4.312822000397523,0.512409398307849,0.0,,,,,,,,10.887,0.01,9.6511,0.0028,8.4293,0.0047,Infinity,J21366+394,V2168 Cyg,11.553,0.03,UCAC4,10.887,0.01,10.107,0.03,UCAC4
J21376+016,4.5,,,J21376+016,35.911,0.161,0.0,0.0,0.0,Infinity,25.21325430536076,3.2270868040031204,4.5,,,,49.9,0.9,0.213086,,14.078,0.03,12.1641,0.0033,10.5961,0.0047,Infinity,J21376+016,GSC 00543-00620,14.911,0.04,UCAC4,14.078,0.03,13.136,0.04,UCAC4
J21380+277,0.0,,,J21380+277,13.113,0.003,0.0,0.0,0.0,Infinity,1.2357162391780965,0.2535224595178644,0.0,,,,4.0,,,,10.77,0.03,9.1322,0.0028,8.1322,0.0038,Infinity,J21380+277,BD+27  4120A,11.399,0.02,UCAC4,10.77,0.03,9.947,0.03,UCAC4
J21421-121,3.0,0.5969,0.0229,J21421-121,32.03,0.041,0.042,0.001,13156.58279464084,3.207519654655775E-4,5.181170578706009,1.6366114782472043,3.0,,,,,,,,13.35,0.024,11.6231,0.0029,10.4738,0.0039,3.207519654655775E-4,J21421-121,Ross 206,,,,13.35,0.024,,,
J21442+066,3.0,,,J21442+066,20.566,0.019,0.0,0.0,0.0,Infinity,2.6827312280260633,0.6210775647565908,3.0,,,,3.0,,,,13.234,0.008,10.9909,0.0028,9.8424,0.0039,Infinity,J21442+066,G 93-033,13.612,0.01,UCAC4,13.234,0.008,12.165,0.01,UCAC4
J21521+056,3.0,,,J21521+056,30.5,5.25,0.0,0.0,0.0,Infinity,24.463040504385994,2.558299220783037,3.0,,,,,,,,12.805,0.01,11.3237,0.0191,9.8261,0.0051,Infinity,J21521+056,StKM 1-1950,13.574,0.01,UCAC4,12.805,0.01,12.141,0.01,UCAC4
J21574+081,1.5,0.582,0.023,J21574+081,20.954,0.01,0.056,0.002,40988.479152103515,6.797031924538883E-5,1.4639175929657775,0.46818037663056633,1.5,HS,Karmn,,3.0,,,,11.693,0.018,10.1358,0.0028,9.08,0.0039,6.797031924538885E-5,J21574+081,Wolf 953,12.433,0.011,APASS9,11.693,0.018,11.054,0.01,APASS9
J22012+283,4.0,0.318,0.0113,J22012+283,9.103,0.002,0.01,0.0,38782.749709727046,7.827191503302565E-4,3.010337784883872,0.20527733657079839,4.0,Cas,Karmn,,36.9,0.7,0.445971,1.4636409E-5,12.78,0.04,10.6348,0.0028,9.396,0.0043,7.827191503302565E-4,J22012+283,V374 Peg,13.68,0.07,UCAC4,12.78,0.04,12.005,0.05,UCAC4
J22018+164,2.0,,,J22018+164,16.18,0.58,0.0,0.0,0.0,Infinity,0.8806828323224755,0.29105454899396443,2.0,,,,1.4,1.0,,,11.404,0.02,9.9708,0.0185,8.5425,0.0039,Infinity,J22018+164,Ross 265,12.15,0.01,UCAC4,11.404,0.02,10.671,0.01,UCAC4
J22021+014,0.5,0.567,0.0133,J22021+014,10.575,0.005,0.064,0.001,183919.137223364,1.0684043341243878E-5,0.2629813289096557,0.1133563270001009,0.5,,,,2.0,,29.5,0.1,10.338,0.001,8.4034,0.0028,7.42,0.0038,1.0684043341243883E-5,J22021+014,BD+00 4810,10.64,0.042,APASS9,10.338,0.001,9.42,0.99,UCAC4
J22035+036,4.0,,,J22035+036,21.781,0.054,0.0,0.0,0.0,Infinity,1.7679739933483956,0.5342528763475975,4.0,,,,,,,,15.104,0.07,13.0182,0.0031,11.5029,0.004,Infinity,J22035+036,2MASS J22033338+0340235,16.033,0.088,APASS9,15.104,0.07,14.307,0.017,APASS9
J22058-119,0.0,0.9132,0.0372,J22058-119,25.896,0.357,0.148,0.007,70925.7625978747,3.998547018446448E-5,2.276004980607859,0.8209989871966636,0.0,Cas,Cab10,Cas,3.3,,,,10.811,0.038,9.4037,0.0028,8.423,0.0045,3.998547018446449E-5,J22058-119,BD-12 6174,11.457,0.02,UCAC4,10.811,0.038,10.119,0.02,UCAC4
J22107+079,0.5,,,J22107+079,32.254,0.089,0.0,0.0,0.0,Infinity,2.7825714894868607,1.428013209630259,0.5,,,,,,,,11.662,0.01,10.8251,0.0029,9.2164,0.0071,Infinity,J22107+079,Wolf 1003 A,12.341,0.01,UCAC4,11.662,0.01,10.921,0.01,UCAC4
J22114+409,5.5,0.161,0.0089,J22114+409,12.678,0.004,0.003,0.0,5998.289126373278,0.0012115121570937138,1.3978427390052566,0.2367888110763971,5.5,,,,2.0,,30.0,1.3,15.904,0.01,13.2178,0.0028,11.8623,0.004,0.0012115121570937138,J22114+409,1RXS J221124.3+410000,16.963,0.09,UCAC4,15.904,0.01,15.139,0.01,UCAC4
J22117-207,3.5,0.6097,0.0245,J22117-207,41.404,0.051,0.034,0.001,6373.852626474329,8.661950992583876E-4,11.326714211497288,2.4885537468038197,3.5,HS,Karmn,,,,,,14.493,0.03,12.4911,0.0029,11.2958,0.004,8.661950992583876E-4,J22117-207,WT 2221,15.314,0.059,APASS9,14.493,0.03,13.754,0.015,APASS9
